code_interne;type;ICDCode;category;source
2ndarymalig;diagnosis;C79;Oncologie;diagnosis
abdomhernia;diagnosis;K43;Gastroentérologie;diagnosis
abdomnlpain;diagnosis;R10;Gastroentérologie;diagnosis
abortcompl;diagnosis;O03;Gynécologie;diagnosis
acqfootdef;diagnosis;M21;Orthopédie;diagnosis
acrenlfail;diagnosis;N17;Néphrologie;diagnosis
acutecvd;diagnosis;I63;Cardiologie;diagnosis
acutemi;diagnosis;I21;Cardiologie;diagnosis
acutphanm;diagnosis;G40;Neurologie;diagnosis
adjustmentdisorders;diagnosis;F43;Psychiatrie;diagnosis
adltrespfl;diagnosis;J96;Pneumologie;diagnosis
alcoholrelateddisorders;diagnosis;F10;Psychiatrie;diagnosis
allergy;diagnosis;T78;Allergologie;diagnosis
amniosdx;diagnosis;O41;Gynécologie;diagnosis
analrectal;diagnosis;K62;Gastroentérologie;diagnosis
anemia;diagnosis;D64;Hématologie;diagnosis
aneurysm;diagnosis;I71;Chirurgie vasculaire;diagnosis
anxietydisorders;diagnosis;F41;Psychiatrie;diagnosis
appendicitis;diagnosis;K35;Gastroentérologie;diagnosis
artembolism;diagnosis;I74;Chirurgie vasculaire;diagnosis
asppneumon;diagnosis;J15;Pneumologie;diagnosis
asthma;diagnosis;J45;Pneumologie;diagnosis
attentiondeficitconductdisruptivebeha;diagnosis;F90;Psychiatrie;diagnosis
backproblem;diagnosis;M54;Rhumatologie;diagnosis
biliarydx;diagnosis;K83;Gastroentérologie;diagnosis
birthasphyx;diagnosis;P21;Pédiatrie;diagnosis
birthtrauma;diagnosis;P15;Pédiatrie;diagnosis
bladdercncr;diagnosis;C67;Oncologie;diagnosis
blindness;diagnosis;H54;Ophtalmologie;diagnosis
bnignutneo;diagnosis;D29;Urologie;diagnosis
bonectcncr;diagnosis;C40;Oncologie;diagnosis
bph;diagnosis;N40;Urologie;diagnosis
brainnscan;diagnosis;C71;Oncologie;diagnosis
breastcancr;diagnosis;C50;Oncologie;diagnosis
breastdx;diagnosis;N60;Gynécologie;diagnosis
brnchlngca;diagnosis;C34;Oncologie;diagnosis
bronchitis;diagnosis;J20;Pneumologie;diagnosis
burns;diagnosis;T30;Chirurgie;diagnosis
cardiaarrst;diagnosis;I46;Cardiologie;diagnosis
cardiacanom;diagnosis;Q24;Cardiologie;diagnosis
carditis;diagnosis;I40;Cardiologie;diagnosis
cataract;diagnosis;H25;Ophtalmologie;diagnosis
cervixcancr;diagnosis;C53;Gynécologie;diagnosis
chestpain;diagnosis;R07;Cardiologie;diagnosis
chfnonhp;diagnosis;I50;Cardiologie;diagnosis
chrkidneydisease;diagnosis;N18;Néphrologie;diagnosis
coaghemrdx;diagnosis;D68;Hématologie;diagnosis
coloncancer;diagnosis;C18;Oncologie;diagnosis
comabrndmg;diagnosis;S06;Neurologie;diagnosis
complicdevi;diagnosis;O75;Gynécologie;diagnosis
complicproc;diagnosis;T81;Chirurgie;diagnosis
conduction;diagnosis;I45;Cardiologie;diagnosis
contraceptiv;diagnosis;Z30;Gynécologie;diagnosis
copd;diagnosis;J44;Pneumologie;diagnosis
coronathero;diagnosis;I25;Cardiologie;diagnosis
crushinjury;diagnosis;T14;Chirurgie;diagnosis
cysticfibro;diagnosis;E84;Pneumologie;diagnosis
deliriumdementiaamnesticothercognitiv;diagnosis;F05;Psychiatrie;diagnosis
developmentaldisorders;diagnosis;F80;Psychiatrie;diagnosis
diabmelnoc;diagnosis;E14;Endocrinologie;diagnosis
diabmelwcm;diagnosis;E11;Endocrinologie;diagnosis
disordersusuallydiagnosedininfancych;diagnosis;F98;Pédiatrie;diagnosis
diverticulos;diagnosis;K57;Gastroentérologie;diagnosis
dizziness;diagnosis;R42;Neurologie;diagnosis
dminpreg;diagnosis;O24;Gynécologie;diagnosis
dysrhythmia;diagnosis;I49;Cardiologie;diagnosis
earlylabor;diagnosis;O60;Gynécologie;diagnosis
ecodesadverseeffectsofmedicalcare;diagnosis;Y60;Autre;diagnosis
ecodesadverseeffectsofmedicaldrugs;diagnosis;Y40;Autre;diagnosis
ecodescutpierce;diagnosis;W25;Traumatologie;diagnosis
ecodesdrowningsubmersion;diagnosis;W65;Traumatologie;diagnosis
ecodesfall;diagnosis;W19;Traumatologie;diagnosis
ecodesfirearm;diagnosis;W32;Traumatologie;diagnosis
ecodesfireburn;diagnosis;X00;Traumatologie;diagnosis
