Motif;Catégorie_motif;Description_longue
abdominalcramping;Digestif;Crampes abdominales
abdominaldistention;Digestif;Distension abdominale
abdominalpain;Digestif;Douleur abdominale
abdominalpainpregnant;Gynécologique;Douleur abdominale chez la femme enceinte
abnormallab;Général;Anomalie biologique
abscess;Infectieux;Abcès
addictionproblem;Psychiatrique;Problème d’addiction
agitation;Psychiatrique;Agitation
alcoholintoxication;Intoxication;Intoxication alcoolique
alcoholproblem;Psychiatrique;Problème d’alcool
allergicreaction;Allergique;Réaction allergique
alteredmentalstatus;Neurologique;État mental altéré
animalbite;Traumatologique/Infectieux;Morsure d’animal
ankleinjury;Traumatologique;Traumatisme de la cheville
anklepain;Ostéo-articulaire;Douleur de la cheville
anxiety;Psychiatrique;Anxiété
arminjury;Traumatologique;Traumatisme du bras
armpain;Ostéo-articulaire;Douleur du bras
armswelling;Ostéo-articulaire;Gonflement du bras
assaultvictim;Traumatologique;Victime d’agression
asthma;Respiratoire;Asthme
backpain;Ostéo-articulaire;Douleur dorsale
bleeding_bruising;Vasculaire/Sang;Hémorragie ou ecchymose
blurredvision;Ophtalmologique;Vision trouble
bodyfluidexposure;Infectieux;Contact avec liquides biologiques
breastpain;Divers/Digestif;Douleur mammaire
breathingdifficulty;Respiratoire;Difficulté respiratoire
breathingproblem;Respiratoire;Problème respiratoire
burn;Traumatologique;Brûlure
cardiacarrest;Cardiaque;Arrêt cardiaque
cellulitis;Infectieux;Cellulite
chestpain;Cardiaque;Douleur thoracique
chesttightness;Cardiaque/Otésio;Oppression thoracique
chills;Infectieux/Virologie;Frissons (syndrome infectieux)
coldlikesymptoms;Infectieux/Rhinologique;Syndrome grippal
confusion;Neurologique;Confusion mentale
conjunctivitis;Ophtalmologique;Conjonctivite
constipation;Digestif;Constipation
cough;Respiratoire;Toux
cyst;Digestif/Dermatologique;Kyste
decreasedbloodsugar_symptomatic;Métabolique;Hypoglycémie symptomatique
dehydration;Métabolique;Déshydratation
dentalpain;Dentaire;Douleur dentaire
depression;Psychiatrique;Symptômes dépressifs
detoxevaluation;Psychiatrique;Évaluation de sevrage
diarrhea;Digestif;Diarrhée
dizziness;Neurologique;Sensation de vertige
drug_alcoholassessment;Psychiatrique;Bilan toxicologique
drugproblem;Psychiatrique;Problème de toxicomanie
dyspnea;Respiratoire;Essoufflement (dyspnée)
dysuria;Urologique;Dysurie (douleur ou difficulté à uriner)
earpain;ORL;Douleur auriculaire
